Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-04 02-AM,BTCUSD,9601.65,9637.4,9584.73,9614.79,197.07,1894914.56
2018-05-04 01-AM,BTCUSD,9588.17,9658.58,9577,9601.65,489.96,4708871.37
2018-05-04 12-AM,BTCUSD,9732.43,9747.34,9527.38,9588.17,1165.89,11193394.67
2018-05-03 11-PM,BTCUSD,9700,9799.99,9691.42,9732.43,638.95,6234728.22
2018-05-03 10-PM,BTCUSD,9655.1,9700,9627.01,9700,223.32,2155428.25
2018-05-03 09-PM,BTCUSD,9665.28,9675,9645,9655.1,246.36,2379821.38
2018-05-03 08-PM,BTCUSD,9638.26,9675,9600.47,9665.28,337.02,3250066.33
2018-05-03 07-PM,BTCUSD,9660,9707.12,9595.76,9638.26,551.69,5326209.25
2018-05-03 06-PM,BTCUSD,9681.77,9731.2,9620,9660,758.09,7329049.64
2018-05-03 05-PM,BTCUSD,9590.85,9690,9527.38,9681.77,1118.29,10731740.16
2018-05-03 04-PM,BTCUSD,9417.03,9605.46,9408.3,9590.85,913.71,8670239.66
2018-05-03 03-PM,BTCUSD,9438.01,9445,9392.49,9417.03,289.85,2728734.48
2018-05-03 02-PM,BTCUSD,9463.18,9480,9398.36,9438.01,891.83,8420898.91
2018-05-03 01-PM,BTCUSD,9314.62,9463.18,9289,9463.18,873.78,8169979.62
2018-05-03 12-PM,BTCUSD,9213.14,9350,9190.03,9314.62,645.84,5995496.28
2018-05-03 11-AM,BTCUSD,9222.6,9231.7,9175.83,9213.14,224.67,2066243.62
2018-05-03 10-AM,BTCUSD,9210.28,9231.64,9196.26,9222.6,219.98,2027800.09
2018-05-03 09-AM,BTCUSD,9225.86,9230,9172.76,9210.28,789.7,7265008.05
2018-05-03 08-AM,BTCUSD,9236.88,9245.68,9197.6,9225.86,506.13,4662260.78
2018-05-03 07-AM,BTCUSD,9203.66,9247.87,9184.1,9236.88,276.97,2554824.16
2018-05-03 06-AM,BTCUSD,9202.23,9233.99,9165.19,9203.66,503.12,4630168.77
2018-05-03 05-AM,BTCUSD,9259.86,9279.86,9165.19,9202.23,374.49,3456088.86
2018-05-03 04-AM,BTCUSD,9222.3,9280.33,9222.3,9259.86,577.98,5354390.63
2018-05-03 03-AM,BTCUSD,9234.99,9259.73,9201.72,9222.3,189.2,1747850.45
2018-05-03 02-AM,BTCUSD,9219.49,9247.63,9187.87,9234.99,136.78,1260996.7
2018-05-03 01-AM,BTCUSD,9193.55,9247.35,9185.62,9219.49,97.66,899966.82
2018-05-03 12-AM,BTCUSD,9222,9235.75,9178.6,9193.55,285.43,2625730.34
2018-05-02 11-PM,BTCUSD,9250.46,9259.16,9200,9222,289.33,2668226.58
2018-05-02 10-PM,BTCUSD,9224.86,9257.18,9198.6,9250.46,317.33,2927625.38
2018-05-02 09-PM,BTCUSD,9179.9,9257.18,9179.08,9224.86,857.43,7906796.22
2018-05-02 08-PM,BTCUSD,9111.01,9180,9086.84,9179.9,297.84,2723484.05
2018-05-02 07-PM,BTCUSD,9125,9125,9051.48,9111.01,244.13,2217460.26
2018-05-02 06-PM,BTCUSD,9110,9130,9085.01,9125,289.83,2640669.77
2018-05-02 05-PM,BTCUSD,9114.85,9132.92,9100.3,9110,139.39,1270560.75
2018-05-02 04-PM,BTCUSD,9144.29,9149.81,9110.63,9114.85,180.76,1650747.74
2018-05-02 03-PM,BTCUSD,9069.67,9148.8,9065.34,9144.29,417.5,3805918.79
2018-05-02 02-PM,BTCUSD,9096.79,9116,9058.79,9069.67,774.0,7031244.93
2018-05-02 01-PM,BTCUSD,9076.43,9096.79,9000,9096.79,946.16,8555711.92
2018-05-02 12-PM,BTCUSD,9151.79,9163.23,9055,9076.43,670.96,6110762.87
2018-05-02 11-AM,BTCUSD,9144,9179.8,9140,9151.79,172.79,1582258.36
2018-05-02 10-AM,BTCUSD,9128.09,9188.1,9121.79,9144,762.78,6984384.89
2018-05-02 09-AM,BTCUSD,9123.92,9151.49,9112.9,9128.09,451.81,4124486.86
2018-05-02 08-AM,BTCUSD,9147.43,9156.06,9105,9123.92,253.04,2308870.53
2018-05-02 07-AM,BTCUSD,9157.11,9166,9125.17,9147.43,452.1,4135210.34
2018-05-02 06-AM,BTCUSD,9055.3,9166,9049.61,9157.11,815.84,7426142.83
2018-05-02 05-AM,BTCUSD,9070.91,9098.92,9050.9,9055.3,362.91,3293520.86
2018-05-02 04-AM,BTCUSD,9035.49,9089.45,9031.6,9070.91,426.38,3862646.33
2018-05-02 03-AM,BTCUSD,9041,9041,8996.7,9035.49,380.66,3431569.6
2018-05-02 02-AM,BTCUSD,9029.6,9057.17,9010.03,9041,266.55,2407529.44
2018-05-02 01-AM,BTCUSD,9032.84,9036.81,8975.23,9029.6,424.44,3823196.66
2018-05-02 12-AM,BTCUSD,9066.9,9096.79,9013.2,9032.84,381.22,3455011.28
2018-05-01 11-PM,BTCUSD,9039.43,9096.79,9033.8,9066.9,327.56,2971234.57
2018-05-01 10-PM,BTCUSD,9078,9094.32,9026.35,9039.43,343.71,3119132.8
2018-05-01 09-PM,BTCUSD,9019.95,9096.79,9015.2,9078,326.88,2964420.96
2018-05-01 08-PM,BTCUSD,8959.51,9050.13,8955.63,9019.95,571.37,5144840.43
2018-05-01 07-PM,BTCUSD,8983.94,8994.52,8959.51,8959.51,105.89,950336.49
2018-05-01 06-PM,BTCUSD,8986.06,9006.99,8941.05,8983.94,209.98,1883536.78
2018-05-01 05-PM,BTCUSD,8988.08,9031.99,8948.94,8986.06,166.66,1498235.75
2018-05-01 04-PM,BTCUSD,8921.37,8998.04,8902.07,8988.08,183.71,1646806.72
2018-05-01 03-PM,BTCUSD,8906,8950,8893.29,8921.37,207.69,1853223.55
2018-05-01 02-PM,BTCUSD,8927.41,8938.1,8877,8906,363.28,3235786.86
2018-05-01 01-PM,BTCUSD,8899.37,8939.01,8855,8927.41,516.86,4601064.16
